%  columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1068068, Thu Aug 17 17:07:08 2017
32 384 -0.135821134629 -0.000278317912583 0.0011660485311 0.133253059424 0.828422217067 0.859356132997 0.870936926291 0.885289078026 0.910758827462 0.921493299786 0.947238166694 0.955463366574 0.961969879294 0.986382084627 0.988386435009 1.00124665958 1.02398760618 1.03411494155 1.06302278457 1.06994845613 1.08856407271 1.11231716081 1.13353779165 1.25161294668
33 396 -0.150545201622 -0.00142089358633 0.000349471359128 0.126876517836 0.828422217067 0.859356132997 0.870936926291 0.885289078026 0.910758827462 0.921493299786 0.947238166694 0.955463366574 0.961969879294 0.986382084627 0.988386435009 1.00124665958 1.02398760618 1.03411494155 1.06302278457 1.06994845613 1.08856407271 1.11231716081 1.13353779165 1.25161294668
34 408 -0.152716948923 -4.91162235154e-05 0.000462581808906 0.140466794458 0.816837128288 0.848853534236 0.865149765329 0.876545179174 0.911641582254 0.922034736883 0.929262906855 0.951943553781 0.958536857671 0.983565484708 0.99850461589 1.00157916089 1.02087824406 1.02456126283 1.05644070398 1.06994743614 1.0895066366 1.1340479234 1.16441724796 1.25552732869
35 420 -0.148727181693 -0.000962777221537 0.000333543760717 0.140629201539 0.816837128288 0.848853534236 0.865149765329 0.876545179174 0.911641582254 0.922034736883 0.929262906855 0.951943553781 0.958536857671 0.983565484708 0.99850461589 1.00157916089 1.02087824406 1.02456126283 1.05644070398 1.06994743614 1.0895066366 1.1340479234 1.16441724796 1.25552732869
36 432 -0.14725716265 -0.000105113411974 0.000361446410988 0.157817336846 0.81220758577 0.839071954367 0.87000822662 0.879841959099 0.905191506607 0.909030694861 0.926714186068 0.945739553114 0.957756137853 0.978938145703 1.00449770073 1.00500401427 1.02539417986 1.03262702648 1.05255076291 1.06906100173 1.08311233222 1.13572434709 1.206909576 1.23430359532
37 444 -0.164410110869 -0.00214808752431 0.000326249601538 0.162533793406 0.81220758577 0.839071954367 0.87000822662 0.879841959099 0.905191506607 0.909030694861 0.926714186068 0.945739553114 0.957756137853 0.978938145703 1.00449770073 1.00500401427 1.02539417986 1.03262702648 1.05255076291 1.06906100173 1.08311233222 1.13572434709 1.206909576 1.23430359532
38 456 -0.166181937598 -0.00071722122733 0.000147483777584 0.178209647295 0.804097984917 0.832863185608 0.857050657626 0.866797672456 0.893419088575 0.896771404166 0.913575033 0.93348254198 0.955489023612 0.975922998017 0.996654521887 0.99827875392 1.01225351814 1.03651446401 1.05475482136 1.06101603457 1.07795433111 1.15492411153 1.24401912515 1.27652614934
39 468 -0.181337667888 -0.000400814822804 0.00303220673645 0.205165491783 0.804097984917 0.832863185608 0.857050657626 0.866797672456 0.893419088575 0.896771404166 0.913575033 0.93348254198 0.955489023612 0.975922998017 0.996654521887 0.99827875392 1.01225351814 1.03651446401 1.05475482136 1.06101603457 1.07795433111 1.15492411153 1.24401912515 1.27652614934
40 480 -0.178381399607 -0.0021948414464 0.000430100901284 0.216746453948 0.784166758371 0.828267262493 0.847378449703 0.859263484489 0.887206176737 0.899333175308 0.91243937853 0.929438270506 0.965328221298 0.972890754135 0.980810301848 0.988392400877 1.00218724179 1.02758665633 1.05067174082 1.0564223884 1.08204579088 1.15095768126 1.23664817446 1.35202590452
41 492 -0.16723583458 -0.000369064511829 0.000691573405919 0.22032576969 0.784166758371 0.828267262493 0.847378449703 0.859263484489 0.887206176737 0.899333175308 0.91243937853 0.929438270506 0.965328221298 0.972890754135 0.980810301848 0.988392400877 1.00218724179 1.02758665633 1.05067174082 1.0564223884 1.08204579088 1.15095768126 1.23664817446 1.35202590452
42 504 -0.167310879568 -6.95797423898e-05 0.00103626032866 0.223501411539 0.772641644647 0.818878485756 0.828112765432 0.847988804576 0.879322650001 0.885396378026 0.905812617652 0.92268868926 0.948804816154 0.965256105079 0.97482728824 0.987743640816 1.00913641316 1.02198245448 1.04688493372 1.07129803443 1.08509277709 1.14773671511 1.23201306464 1.42186898881
43 516 -0.163711233093 -0.000590158839923 0.000188018750871 0.227976564908 0.772641644647 0.818878485756 0.828112765432 0.847988804576 0.879322650001 0.885396378026 0.905812617652 0.92268868926 0.948804816154 0.965256105079 0.97482728824 0.987743640816 1.00913641316 1.02198245448 1.04688493372 1.07129803443 1.08509277709 1.14773671511 1.23201306464 1.42186898881
44 528 -0.160914112807 -0.000301194579143 0.00211352334406 0.235651692304 0.759617873846 0.801664057523 0.823850774631 0.82640260356 0.870099018052 0.885700552134 0.897798009075 0.925929372639 0.943571272054 0.96865524521 0.976813504145 0.985302135033 1.00913274945 1.01604913003 1.05579293837 1.07103871765 1.08678973074 1.1579393708 1.20443500395 1.47478425144
45 540 -0.170651805328 -0.00345855172332 0.000146216789879 0.243818005345 0.759617873846 0.801664057523 0.823850774631 0.82640260356 0.870099018052 0.885700552134 0.897798009075 0.925929372639 0.943571272054 0.96865524521 0.976813504145 0.985302135033 1.00913274945 1.01604913003 1.05579293837 1.07103871765 1.08678973074 1.1579393708 1.20443500395 1.47478425144
46 552 -0.182987977974 -0.00264151530642 0.000402917151217 0.245174457728 0.743985878128 0.782504889666 0.809724360383 0.828979799888 0.869691967271 0.875459249281 0.89005867009 0.914544243874 0.925987162776 0.96248059313 0.969706531305 0.991357198002 1.00635239804 1.02022525281 1.04772081609 1.05938994693 1.09327364989 1.17894326679 1.22229199142 1.51003230848
47 564 -0.189919679792 -0.00102531044736 0.000374745998554 0.240338360696 0.743985878128 0.782504889666 0.809724360383 0.828979799888 0.869691967271 0.875459249281 0.89005867009 0.914544243874 0.925987162776 0.96248059313 0.969706531305 0.991357198002 1.00635239804 1.02022525281 1.04772081609 1.05938994693 1.09327364989 1.17894326679 1.22229199142 1.51003230848
48 576 -0.187545041156 -0.00116048106979 0.000281675128479 0.240096165231 0.740345748813 0.781692807839 0.801409353328 0.810607993877 0.871402041287 0.883102966505 0.892019635464 0.908919139709 0.922231384412 0.957737525383 0.968354002945 0.980235454795 1.00444869204 1.02073657535 1.04230426098 1.06647977117 1.08164537185 1.17701441786 1.25150038998 1.52247937828
49 588 -0.182687193494 -0.00330188304347 0.000678605543832 0.230205958294 0.740345748813 0.781692807839 0.801409353328 0.810607993877 0.871402041287 0.883102966505 0.892019635464 0.908919139709 0.922231384412 0.957737525383 0.968354002945 0.980235454795 1.00444869204 1.02073657535 1.04230426098 1.06647977117 1.08164537185 1.17701441786 1.25150038998 1.52247937828
50 600 -0.176874355399 -0.000109428550735 0.00110250978499 0.227750744437 0.729596350372 0.784527169971 0.800163324956 0.809515839996 0.867984741967 0.876885081229 0.87844938505 0.902363644431 0.907398365104 0.956641287268 0.972846304203 0.981169775384 1.00427931715 1.01422022109 1.04303631416 1.06188862717 1.09582572844 1.183131779 1.27328076637 1.52514971551
51 612 -0.186807742897 -0.0005359899041 0.000734742412374 0.250704366409 0.729596350372 0.784527169971 0.800163324956 0.809515839996 0.867984741967 0.876885081229 0.87844938505 0.902363644431 0.907398365104 0.956641287268 0.972846304203 0.981169775384 1.00427931715 1.01422022109 1.04303631416 1.06188862717 1.09582572844 1.183131779 1.27328076637 1.52514971551
52 624 -0.188576755269 -0.000683983365864 0.000147960614303 0.252657614463 0.720634233989 0.774210907295 0.804376205679 0.810028457873 0.854434382912 0.867161507762 0.877548901848 0.902160674523 0.914708508114 0.950578852721 0.975985963059 0.99387491761 1.00498739643 1.01329547708 1.0432829343 1.04999743703 1.11187883553 1.1762316556 1.27469872592 1.53594338759
53 636 -0.188457050203 -0.000542696489059 0.00172367765331 0.236047901834 0.720634233989 0.774210907295 0.804376205679 0.810028457873 0.854434382912 0.867161507762 0.877548901848 0.902160674523 0.914708508114 0.950578852721 0.975985963059 0.99387491761 1.00498739643 1.01329547708 1.0432829343 1.04999743703 1.11187883553 1.1762316556 1.27469872592 1.53594338759
54 648 -0.192318303595 -0.00105391824719 0.00199843553114 0.235175536727 0.713018525504 0.767968520763 0.799908724316 0.805432164439 0.851158225117 0.864769575857 0.882450512609 0.905386275098 0.929917995849 0.951022343331 0.975593681719 0.980765417627 1.01084474371 1.01701957843 1.03475466565 1.05625948091 1.12672607884 1.19655830235 1.2808398171 1.50840575822
